Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
Acer,GM9000,x4 PCIe 5.0/NVMe,M.2,2TB,SMI SM2508,,Yes,N/A,Micron,TLC,232,14000,13000,High-End NVMe,
Acer,GM9000,x4 PCIe 5.0/NVMe,M.2,4TB,SMI SM2508,,Yes,N/A,Micron,TLC,232,14000,13000,High-End NVMe,
Acer,RE100,SATA/AHCI,"2.5""",128GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,520,Entry-Level SATA,1TB max M.2
Acer,RE100,SATA/AHCI,"2.5""",256GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,520,Entry-Level SATA,1TB max M.2
Acer,RE100,SATA/AHCI,"2.5""",512GB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,520,Entry-Level SATA,1TB max M.2
Acer,RE100,SATA/AHCI,"2.5""",1TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,520,Entry-Level SATA,1TB max M.2
Acer,RE100,SATA/AHCI,"2.5""",2TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,520,Entry-Level SATA,1TB max M.2
Acer,RE100,SATA/AHCI,"2.5""",4TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560,520,Entry-Level SATA,1TB max M.2
ADATA,ATOM 30,x4 PCIe 3.0/NVMe,M.2,250GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,ATOM 30,x4 PCIe 3.0/NVMe,M.2,500GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,ATOM 30,x4 PCIe 3.0/NVMe,M.2,1000GB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,ATOM 30,x4 PCIe 3.0/NVMe,M.2,1TB,Realtek RTS5766DL,4-Ch,No,Yes,,,,2500,2000,Entry-Level NVMe,
ADATA,ATOM 40,x4 PCIe 4.0/NVMe,M.2,512GB,,,,,,,,3500,3000,Mid-Range NVMe,
ADATA,ATOM 40,x4 PCIe 4.0/NVMe,M.2,1TB,,,,,,,,3500,3000,Mid-Range NVMe,
ADATA,ATOM 50,x4 PCIe 4.0/NVMe,M.2,512GB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,SM2269XT variant
ADATA,ATOM 50,x4 PCIe 4.0/NVMe,M.2,1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,SM2269XT variant
ADATA,Falcon,x4 PCIe 3.0/NVMe,M.2,256GB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100,1500,Entry-Level NVMe,
ADATA,Falcon,x4 PCIe 3.0/NVMe,M.2,512GB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100,1500,Entry-Level NVMe,
